3_040
DPML;Direction de la Pharmacie, du Médicament et des Laboratoires (DPML);Direction de la Pharmacie, du Médicament et des Laboratoires (DPML)
DPMLMOH;Department of Pharmacy, Medicines and Laboratory, Ministry of Health;Department of Pharmacy, Medicines and Laboratory, Ministry of Health
DRA_BT;Drug Regulatory Authority (DRA);Drug Regulatory Authority (DRA)
DRAP;Drug Regulatory Authority of Pakistan (DRAP);Drug Regulatory Authority of Pakistan (DRAP)
DTAMOH;Directorate of Technical Affairs in the Ministry of Health;Directorate of Technical Affairs in the Ministry of Health
EDA;Egyptian Drug Authority (EDA);Egyptian Drug Authority (EDA)
EPD;EPD;EPD
EU_MEDICAL_PRODUCT_NUMBER;EU Medical Product Number;EU Medical Product Number
FDA_MEDICAL_DEVICE_LISTING;FDA Medical Device Listing;FDA Medical Device Listing
FDA_MM;Food and Drug Administration (FDA)  Myanmar ;Food and Drug Administration (FDA)  Myanmar 
FDA_NDC_10;FDA NDC 10;FDA NDC 10
FDA_NDC_11;FDA NDC 11;FDA NDC 11
FDA_PH;Food and Drug Administration (FDA) Philippines;Food and Drug Administration (FDA) Philippines
FDA_PRODUCT_CODE;FDA Product Code;FDA Product Code
FDA_TH;Thai Food and Drug Administration (Thai FDA);Thai Food and Drug Administration (Thai FDA)
FDB;Food and Drugs Board (FDB);Food and Drugs Board (FDB)
FDD;Food and Drug Department;Food and Drug Department
FMHACA_ET;Food, Medicine and Health Care Administration and Control of Ethiopia (FMHACA);Food, Medicine and Health Care Administration and Control of Ethiopia (FMHACA)
FOR_INTERNAL_USE_1;For internal use 1;For internal use 1
FOR_INTERNAL_USE_10;For internal use 10;For internal use 10
FOR_INTERNAL_USE_11;For internal use 11;For internal use 11
FOR_INTERNAL_USE_12;For internal use 12;For internal use 12
FOR_INTERNAL_USE_13;For internal use 13;For internal use 13
FOR_INTERNAL_USE_14;For internal use 14;For internal use 14
FOR_INTERNAL_USE_15;For internal use 15;For internal use 15
FOR_INTERNAL_USE_16;For internal use 16;For internal use 16
FOR_INTERNAL_USE_17;For internal use 17;For internal use 17
FOR_INTERNAL_USE_18;For internal use 18;For internal use 18
FOR_INTERNAL_USE_19;For internal use 19;For internal use 19
FOR_INTERNAL_USE_2;For internal use 2;For internal use 2
FOR_INTERNAL_USE_20;For internal use 20;For internal use 20
FOR_INTERNAL_USE_3;For internal use 3;For internal use 3
FOR_INTERNAL_USE_4;For internal use 4;For internal use 4
FOR_INTERNAL_USE_5;For internal use 5;For internal use 5
FOR_INTERNAL_USE_6;For internal use 6;For internal use 6
FOR_INTERNAL_USE_7;For internal use 7;For internal use 7
FOR_INTERNAL_USE_8;For internal use 8;For internal use 8
FOR_INTERNAL_USE_9;For internal use 9;For internal use 9
GDPA;General Directorate of Pharmaceutical Affairs (GDPA);General Directorate of Pharmaceutical Affairs (GDPA)
GTIN_12;GTIN 12;GTIN 12
GTIN_13;GTIN 13;GTIN 13
GTIN_14;GTIN 14;GTIN 14
GTIN_8;GTIN 8;GTIN 8
HIBC;HIBC;HIBC
ICCBBA;ICCBBA;ICCBBA
INDUSTRY_ASSIGNED;Industry Assigned;Industry Assigned
INVIMA;INVIMA;INVIMA
ISBN_NUMBER;ISBN number;ISBN number
ISSN_NUMBER;ISSN number;ISSN number
JFDA;Jordan Food and Drug Administration;Jordan Food and Drug Administration
LMHPRA;Liberia Medicines and Health Products Regulatory Authority;Liberia Medicines and Health Products Regulatory Authority
LOTTERY_GAME_NUMBER;Lottery Game Number;Lottery Game Number
LOTTERY_PACK_BOOK_NUMBER;Lottery pack book number;Lottery pack book number
MANUFACTURER_PART_NUMBER;Manufacturer part number;Manufacturer part number
MCAZ;Medicines Control Authority of Zimbabwe (MCAZ);Medicines Control Authority of Zimbabwe (MCAZ)
MCC;Medicines Control Council (MCC);Medicines Control Council (MCC)
MDL;MDL;MDL
MINSA;Ministerio de Salud - Direccion de Farmacias (MINSA);Ministerio de Salud - Direccion de Farmacias (MINSA)
MISAU;Departamento Farmacêutico-MISAU;Departamento Farmacêutico-MISAU
MODEL_NUMBER;Model Number;Model Number
MOH_AO;Ministry of Health (MOH) Angola;Ministry of Health (MOH) Angola
MOH_BB;Ministry of Health (MOH)  Barbados ;Ministry of Health (MOH)  Barbados 
MOH_BW;Drugs Regulatory Unit (DRU) of the Ministry of Health (MOH);Drugs Regulatory Unit (DRU) of the Ministry of Health (MOH)
MOH_GY;Ministry of Health - Guyana ;Ministry of Health - Guyana 
MOH_MA;Ministry of Health - Morocco ;Ministry of Health - Morocco 
MOH_MR;Ministry of Health: Pharmacy and Laboratory;Ministry of Health: Pharmacy and Laboratory
MOH_RW;Ministry of Health - Rwanda ;Ministry of Health - Rwanda 
MOH_SZ;Ministry of Health (MOH) Swaziland;Ministry of Health (MOH) Swaziland
MOH_TJ;Ministry of Health - Tajikistan ;Ministry of Health - Tajikistan 
MOH_TT;Chemistry Food and Drugs Division/Ministry of Health (CFFD/MOH);Chemistry Food and Drugs Division/Ministry of Health (CFFD/MOH)
MOH_UG;National Drug Authority;National Drug Authority
MOH_UZ;Ministry of Health - Uzbekistan;Ministry of Health - Uzbekistan
MOHSW;Ministry of Health & Social Welfare;Ministry of Health & Social Welfare
MOPH_NE;Ministry of Public Health;Ministry of Public Health
MOPH_TD;Minister of Public Health: Direction de la Pharmacie, du Médicament et des Laboratoires;Minister of Public Health: Direction de la Pharmacie, du Médicament et des Laboratoires
MRA;Medicines Regulatory Authority (MRA) Palestine;Medicines Regulatory Authority (MRA) Palestine
MRA_PG;Medicines Regulatory Authority (MRA) Papua New Guinea;Medicines Regulatory Authority (MRA) Papua New Guinea
MRA_SS;Medicines Regulatory Authority (MRA) South Sudan ;Medicines Regulatory Authority (MRA) South Sudan 
MSD;Unidad de Medicamentos y Tecnología en Salud (MSD);Unidad de Medicamentos y Tecnología en Salud (MSD)
MSP;Direccion General de Drogas y Farmacias del Ministerio de Salud Pública (DGDF/MSP);Direccion General de Drogas y Farmacias del Ministerio de Salud Pública (DGDF/MSP)
MSPAS_CG;Ministère de la Santé Publique et des Affairs Sociales: Direction des Pharmacies, du Médicament et des Laboratoires ;Ministère de la Santé Publique et des Affairs Sociales: Direction des Pharmacies, du Médicament et des Laboratoires 
MSPAS_GT;Minsiterio de Salud Publica y Asistencia Social/Departamento de Regulación y Control de Productos Farmacéuticos y Afines (MSPAS);Minsiterio de Salud Publica y Asistencia Social/Departamento de Regulación y Control de Productos Farmacéuticos y Afines (MSPAS)
MSPBS;Ministerio de Salud Pública y Bienestar Social (MSPBS);Ministerio de Salud Pública y Bienestar Social (MSPBS)
NABCA_PRODUCT_CODE;NABCA product code;NABCA product code
NADFC;National Agency of Drug and Food Control (NADFC);National Agency of Drug and Food Control (NADFC)
NAFDAC_NG;National Agency for Food and Drug Administration and Control (NAFDAC);National Agency for Food and Drug Administration and Control (NAFDAC)
NAN;NAN;NAN
NCM;National Center for Medicines, Medical Devices and Medical Equipment Expertise;National Center for Medicines, Medical Devices and Medical Equipment Expertise
NMFA;National Medicines and Food Administration;National Medicines and Food Administration
NMPB_SD;National Medicines and Poisons Board (NMPB);National Medicines and Poisons Board (NMPB)
NMRA_LK;National Medicines Regulatory Authority (NMRA);National Medicines Regulatory Authority (NMRA)
NMRC;Namibia Medicines Regulatory Council;Namibia Medicines Regulatory Council
NPN;NPN;NPN
NSN;NSN;NSN
NUMERO_RDN;RDN;RDN
NZ_MEDICINES_TERMINOLOGY_CODE;NZ Medicines Terminology Code;NZ Medicines Terminology Code
PBSL;Pharmacy Board of Sierra Leone;Pharmacy Board of Sierra Leone
PCOJ;Pharmacy Council of Jamaica (PCoJ);Pharmacy Council of Jamaica (PCoJ)
PHARMACODE_CH;Pharmacode CH;Pharmacode CH
PIRC;Pharmaceutical Inspectorate and the Registration Committee;Pharmaceutical Inspectorate and the Registration Committee
PLU;PLU;PLU
PMPB;Pharmacy, Medicines and Poisons Board;Pharmacy, Medicines and Poisons Board
PPB;Pharmacy and Poisons Board;Pharmacy and Poisons Board
RVG;RVG;RVG
RVH;RVH;RVH
SAN_4;SAN 4;SAN 4
SBDMA;Supreme Board for Drugs & Medical Appliances;Supreme Board for Drugs & Medical Appliances
SCDMTE;The Scientific Centre of Drug and Medical Technologies Expertise (SCDMTE);The Scientific Centre of Drug and Medical Technologies Expertise (SCDMTE)
SFDA;State Food Drug Administration (SFDA);State Food Drug Administration (SFDA)
SMDC_UA;State Service of Ukraine on Medicines and Drugs Control (SMDC);State Service of Ukraine on Medicines and Drugs Control (SMDC)
SRAMA;State Regulatory Agency for Medical Activities;State Regulatory Agency for Medical Activities
SUPPLIER_ASSIGNED;Supplier Assigned;Supplier Assigned
TFDA;Tanzania Food and Drugs Authority (TFDA);Tanzania Food and Drugs Authority (TFDA)
WAND_NUMBER;WAND Number;WAND Number
Z_INDEX;Z INDEX;Z INDEX
ZAMRA;Zambia Medicines Regulatory Authority (ZAMRA);Zambia Medicines Regulatory Authority (ZAMRA)
0_091
001;Global Market;Global Market
NON_EU;Non EU;Non EU
D_A;Development Assistance;Development Assistance
097;European Union;European Union
3_018
DIRECT_SHIP_TO_CONSUMER;Direct Ship To Consumer;Direct Ship To Consumer
DISPLAY_ITEM_FOLDED_ON_SHELF;Display Item Folded On Shelf;Display Item Folded On Shelf
DISPLAY_ITEM_HANGING;Display Item Hanging;Display Item Hanging
DISPLAY_ITEM_HANGING_FROM_SHELF;Display Item Hanging From  Shelf;Display Item Hanging From  Shelf
DISPLAY_ITEM_STANDING;Display Item Standing;Display Item Standing
DISPLAY_ITEM_STANDING_ON_SHELF;Display Item Standing On Shelf;Display Item Standing On Shelf
IN_PACKAGE;In Package;In Package
MAX_DOOR_DRAWER_LID_CLEARANCE;Max Door Drawer Lid Clearance;Max Door Drawer Lid Clearance
MAX_DOOR_DRAWER_LID_CLEARANCE_W_HDL;Max Door Drawer Lid Clearance With Handle;Max Door Drawer Lid Clearance With Handle
OUT_OF_PACKAGE;Out Of Package;Out Of Package
RETAIL_DISPLAY;Retail Display;Retail Display
7_224
FDR;Floor Display Ready Packaging;Floor Display Ready Packaging
FND;Floor Non-Assembled Display Packaging;Floor Non-Assembled Display Packaging
SDR;Shelf Display Ready Packaging;Shelf Display Ready Packaging
SND;Shelf Non-Assembled Display Packaging;Shelf Non-Assembled Display Packaging
UNS;Unspecified;Unspecified
5_029
DANGER;Danger;Danger
NOT_APPLICABLE;Not applicable;Not applicable
UNSPECIFIED;Unspecified ;Unspecified 
WARNING;Warning;Warning
5_030
CORROSION;Corrosion;Corrosion
ENVIRONMENT;Environment;Environment
EXCLAMATION_MARK;Exclamation Mark;Exclamation Mark
EXPLODING_BOMB;Exploding Bomb;Exploding Bomb
FLAME;Flame;Flame
FLAME_OVER_CIRCLE;Flame Over Circle;Flame Over Circle
GAS_CYLINDER;Gas Cylinder;Gas Cylinder
HEALTH_HAZARD;Health Hazard;Health Hazard
NO_PICTOGRAM;No Pictogram;No Pictogram
SKULL_AND_CROSSBONES;Skull and Crossbones;Skull and Crossbones
7_222
CTCURBK;;
CUSTOMS_TARIFF_NUMBER;;
EU_EXCISE_PRODUCT_CODE;;
FEACNRF;;
HARMONIZED_COMMODITY_DESCRIPTION_AND_CODING_SYSTEM;;
HARMONIZED_TARIFF_SCHEDULE_OF_THE_US;;
INTRASTAT;;
INTRASTAT_COMBINED_NOMENCLATURE;;
MERCOSUR;;
NETHERLANDS;;
NOMENCLATURE_GENERALE_DES_PRODUITS;;
TARIF_INTEGRE_DE_LA_COMMUNAUTE;;
TN_VED;;
7_225
10;Pallet 800 X 600 mm;Pallet 800 X 600 mm
11;Pallet 800 X 1200 mm;Pallet 800 X 1200 mm
12;Pallet 1200 X 1000 mm;Pallet 1200 X 1000 mm
13;Pallet 600 X 400 mm;Pallet 600 X 400 mm
14;Pallet 400 X 300 mm;Pallet 400 X 300 mm
25;Australian Pallet;Australian Pallet
27;Unspecified;Unspecified
31;Pallet 1000 X 600 mm;Pallet 1000 X 600 mm
32;Block Pallet;Block Pallet
33;Dolly;Dolly
35;Pallet 1000 X 1200 mm;Pallet 1000 X 1200 mm
38;Horizontal Drum Pallet;Horizontal Drum Pallet
39;IBC Pallet;IBC Pallet
40;Pallet 1219 X 1016 mm;Pallet 1219 X 1016 mm
41;Pallet 1067 X 1067 mm;Pallet 1067 X 1067 mm
42;Pallet 1100 X 1100 mm;Pallet 1100 X 1100 mm
43;Pallet 1140 X 1140 mm;Pallet 1140 X 1140 mm
44;Skid;Skid
45;Stringer Pallet;Stringer Pallet
46;Vertical Drum Pallet;Vertical Drum Pallet
47;Pallet 800 X 400 mm;Pallet 800 X 400 mm
48;1/2 ISO 3 Pallet;1/2 ISO 3 Pallet
49;1/4 ISO 3 Pallet;1/4 ISO 3 Pallet
50;Custom Platform;Custom Platform
9;Slip sheet;Slip sheet
5_131
FINAL;Final;Final
PRELIMINARY;Preliminary;Preliminary
6_445
360_DEGREE_IMAGE;360 Degree Image;360 Degree Image
ASSEMBLY_INSTRUCTIONS;Assembly Instructions;Assembly Instructions
AUDIO;Audio;Audio
CERTIFICATION;Certification;Certification
CHEMICAL_ASSESSMENT_SUMMARY;Chemical Assessment Summary;Chemical Assessment Summary
CHEMICAL_SAFETY_REPORT;Chemical Safety Report;Chemical Safety Report
CHILD_NUTRITION_LABEL;Child Nutrition Label;Child Nutrition Label
CONSUMER_HANDLING_AND_STORAGE;Consumer Handling and Storage;Consumer Handling and Storage
CROSSSECTION_VIEW;Crosssection View;Crosssection View
DIET_CERTIFICATE;Diet Certificate;Diet Certificate
DOCUMENT;Document;Document
DOP_SHEET;Dop Sheet;Dop Sheet
DRUG_FACT_LABEL;Drug Fact Label;Drug Fact Label
ENERGY_LABEL;Energy Label;Energy Label
GROUP_CHARACTERISTIC_SHEET;Group Characteristic Sheet;Group Characteristic Sheet
HAZARDOUS_SUBSTANCES_DATA;Hazardous Substances Data;Hazardous Substances Data
IFU;IFU;IFU
INTERNAL_VIEW;Internal View;Internal View
LOGO;Logo;Logo
MARKETING_INFORMATION;Marketing Information;Marketing Information
MATERIAL_SAMPLES;Material Samples;Material Samples
MOBILE_DEVICE_IMAGE;Mobile Device Image;Mobile Device Image
NUTRITION_FACT_LABEL;Nutrition Fact Label;Nutrition Fact Label
ORGANIC_CERTIFICATE;Organic Certificate;Organic Certificate
OTHER_EXTERNAL_INFORMATION;Other External Information;Other External Information
OUT_OF_PACKAGE_IMAGE;Out of Package Image;Out of Package Image
PACKAGING_ARTWORK;Packaging Artwork;Packaging Artwork
PLANOGRAM;Planogram;Planogram
PRODUCT_FORMULATION_STATEMENT;Product Formulation Statement;Product Formulation Statement
PRODUCT_IMAGE;Product Image;Product Image
PRODUCT_LABEL_IMAGE;Product Label Image;Product Label Image
PRODUCT_WEBSITE;Product Website;Product Website
QR_CODE;Link to QR Code;Link to QR Code
QUALITY_CONTROL_PLAN;Quality Control Plan;Quality Control Plan
RECIPE_WEBSITE;Recipe Website;Recipe Website
REGULATORY_INSPECTION_AUDIT;Regulatory Inspection Audit;Regulatory Inspection Audit
RISK_ANALYSIS_DOCUMENT;Risk Analysis Document;Risk Analysis Document
SAFETY_DATA_SHEET;Safety Data Sheet;Safety Data Sheet
SAFETY_SUMMARY_SHEET;Safety Summary Sheet;Safety Summary Sheet
SAMPLE_SHIPPING_ORDER;Sample Shipping Order;Sample Shipping Order
SUMMARY_OF_PRODUCT_CHARACTERISTICS;Summary of Product Characteristics;Summary of Product Characteristics
TESTING_METHODOLOGY_RESULTS;Testing Methodology Results;Testing Methodology Results
TRADE_ITEM_DESCRIPTION;Trade Item Description;Trade Item Description
TRADE_ITEM_IMAGE_WITH_DIMENSIONS;Trade Item Image With Dimensions;Trade Item Image With Dimensions
VIDEO;Video;Video
WARRANTY_INFORMATION;Warranty Information;Warranty Information
WEBSITE;Website;Website
ZOOM_VIEW;Zoom View;Zoom View
3_067
AEROSOL_REVERSE_EPSILON;Aerosol_Reverse Epsilon;Aerosol_Reverse Epsilon
AGRICULTURE_PROTECTION_REGULATION;Agriculture_Protection Regulation;Agriculture_Protection Regulation
ANIMAL_ID_HEALTH_MARK;Animal ID Health Mark;Animal ID Health Mark
BATTERY_DIRECTIVE;Battery Directive;Battery Directive
BPA_REGULATION;BPA Regulation ;BPA Regulation 
BIOCIDE_REGULATION;Biocide Regulation;Biocide Regulation
CE;CE;CE
COMPLIANT_WITH_FAIR_LABOR_STANDARDS_ACT;Compliant With Fair Labor Standards Act;Compliant With Fair Labor Standards Act
COMPLIANT_WITH_FLAMMABILITY_ACT;Compliant With Flammability Act;Compliant With Flammability Act
COMPLIANT_WITH_FUR_PRODUCT_LABELING_ACT;Compliant With Fur Product Labeling Act;Compliant With Fur Product Labeling Act
COMPLIANT_WITH_STATE_ENVIRONMENT_REQUIREMENTS;Compliant With State Environment Requirements;Compliant With State Environment Requirements
COMPLIANT_WITH_TEXTILE_FIBER_PRODUCT_IDENTIFICATION;Compliant With Textile Fiber Product Identification;Compliant With Textile Fiber Product Identification
COMPLIANT_WITH_WOOL_PRODUCTS_LABELING_ACT;Compliant With Wool Products Labeling Act;Compliant With Wool Products Labeling Act
CONSUMER_PRODUCT_SAFETY;Consumer_Product Safety;Consumer_Product Safety
CONTAINS_COMPOSITE_WOOD;Contains Composite Wood;Contains Composite Wood
COSMETIC_INFORMATION_REGULATION;Cosmetic_Information Regulation;Cosmetic_Information Regulation
DETERGENTS_SAFETY_REGULATION;Detergents_Safety Regulation;Detergents_Safety Regulation
E_MARK;E-mark;E-mark
EFFICIENCY_OF_LAMPS_LUMINARIES;Efficiency of Lamps Luminaries;Efficiency of Lamps Luminaries
EMC_DIRECTIVE;EMC Directive;EMC Directive
ENCLOSED_ATTACHED_INFORMATION;Enclosed Attached Information;Enclosed Attached Information
ENERGY_GUIDE_LABEL_REQUIRED;Energy Guide Label Required;Energy Guide Label Required
EU_REGULATION_FOR_FOODSTUFF;EU Regulation Label Required;EU Regulation Label Required
FEED_SAFETY_REGULATION;Feed_Safety Regulation;Feed_Safety Regulation
FOOD_FOR_SPECIAL_PURPOSES;Food For Special Purposes;Food For Special Purposes
FOOD_INFORMATION_REGULATION;Food_Information Regulation;Food_Information Regulation
FOOD_LABELLING_UNDER_2_YEARS_OF_AGE;Food Labelling Under 2 Years of Age;Food Labelling Under 2 Years of Age
FOOD_LABELLING_UNDER_4_YEARS_OF_AGE;Food Labelling Under 2 Years of Age;Food Labelling Under 2 Years of Age
FOOD_SUPPLEMENT_DIRECTIVE;Food_Supplement Directive;Food_Supplement Directive
FREE_PHARMACEUTICAL_PRODUCTS_DIRECTIVE;Free Pharmaceutical Products Directive;Free Pharmaceutical Products Directive
FRENCH_SPARE_PARTS_REGULATION;French Spare Parts Regulation;French Spare Parts Regulation
HERBICIDE_REGULATION;Herbicide Regulation;Herbicide Regulation
INFANT_FORMULA_LABELLING;Infant formula Labelling;Infant formula Labelling
INTENDED_TO_COME_INTO_CONTACT_WITH_FOOD;Intended to Come Into Contact with Food;Intended to Come Into Contact with Food
LVD_DIRECTIVE;LVD Directive;LVD Directive
MARKET_AUTHORISATION;Market Authorisation;Market Authorisation
MEDICAL_DEVICE_SAFETY;Medical_Device Safety;Medical_Device Safety
MINIMUM_DURABILITY;Minimum Durability;Minimum Durability
NANO_MATERIALS_PRESENCE;Nano Materials Presence;Nano Materials Presence
PACKAGING_SAFETY_DIRECTIVE;Packaging Safety Directive;Packaging Safety Directive
PERIOD_SAFE_TO_USE_AFTER_OPENING;Period Safe To Use After Opening;Period Safe To Use After Opening
PESTICIDE_REGULATION;Pesticide Regulation;Pesticide Regulation
PHARMACEUTICAL_PRODUCT_DIRECTIVE;Pharmaceutical_Product Directive;Pharmaceutical_Product Directive
PRODUCT_OF_DAILY_USE_DIRECTIVE;Product of Daily Use Directive;Product of Daily Use Directive
PRODUCT_LABELING_REGULATION;Product Labelling Regulation;Product Labelling Regulation
PROP_65;Prop_65;Prop_65
REGULATED_BY_AGENCY;Regulated by Agency;Regulated by Agency
RETURNING_OF_ELECTRONICAL_PRODUCT_DIRECTIVE;Returning of Electronic Product Directive;Returning of Electronic Product Directive
ROHS_DIRECTIVE;ROHS Directive;ROHS Directive
SECURITY_OF_ELECTRONIC_PRODUCTS_DIRECTIVE;Security of Electronic Products Directive;Security of Electronic Products Directive
TEXTILE_LABELLING_REGULATION;Textile_Labelling Regulation;Textile_Labelling Regulation
TOY_SAFETY_DIRECTIVE;Toy_Safety Directive;Toy_Safety Directive
TRACEABILITY_REGULATION;Traceability Regulation;Traceability Regulation
TRADE_ITEM_TESTED_DIRECTIVE;Trade Item Tested Directive;Trade Item Tested Directive
TREATED_WITH_HERBICIDE_REGULATION;Treated with Herbicide Regulation;Treated with Herbicide Regulation
TREATED_WITH_PESTICIDE_REGULATION;Treated with Pesticide Regulation.;Treated with Pesticide Regulation.
UNDERWATER_LIGHTING;Underwater Lighting;Underwater Lighting
UVA;Uva;Uva
VEHICLE_LICENSE_PLATE_REGISTRATION;Vehicle License Plate Registration ;Vehicle License Plate Registration 
VEHICLE_LIGHTING_COMPLIANT;Vehicle Lighting Compliant;Vehicle Lighting Compliant
VOLATILE_ORGANIC_COMPOUND_COMPLIANT;Volatile Organic Compound Compliant;Volatile Organic Compound Compliant
7_229
STORAGE_UNSPECIFIED;Storage Unspecified;Storage Unspecified
TRANSPORT_AIR;Transport Air;Transport Air
TRANSPORT_INLAND_WATER;;
TRANSPORT_MARITIME;Transport Maritime;Transport Maritime
TRANSPORT_RAIL;Transport Rail;Transport Rail
TRANSPORT_ROAD;Transport Road;Transport Road
TRANSPORT_UNSPECIFIED;Transport Unspecified;Transport Unspecified
UNSPECIFIED;Unspecified;Unspecified
3_007
BASE_UNIT_OR_EACH;Base Unit or Each;Base Unit or Each
CASE;Case;Case
DISPLAY_SHIPPER;Display Shipper;Display Shipper
MIXED_MODULE;Mixed Module;Mixed Module
PACK_OR_INNER_PACK;Pack or Inner Pack;Pack or Inner Pack
PALLET;Pallet;Pallet
TRANSPORT_LOAD;Transport Load;Transport Load
