semanticResourceURN;Code List;Code Value;codeName
urn:gs1:gdd:cl:AdditionalLogisticUnitIdentificationTypeCode:SHIPPER_ASSIGNED;AdditionalLogisticUnitIdentificationTypeCode;SHIPPER_ASSIGNED;Shipper assigned
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode;AdditionalPartyIdentificationTypeCode;;
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:BUYER_ASSIGNED_IDENTIFIER_FOR_A_PARTY;AdditionalPartyIdentificationTypeCode;BUYER_ASSIGNED_IDENTIFIER_FOR_A_PARTY;Buyer assigned identifier for a party
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:CASHSSP;AdditionalPartyIdentificationTypeCode;CASHSSP;CASHSSP
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:DEA_DRUG_ENFORCEMENT_AGENCY;AdditionalPartyIdentificationTypeCode;DEA_DRUG_ENFORCEMENT_AGENCY;DEA
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:DUNS;AdditionalPartyIdentificationTypeCode;DUNS;DUNS
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:DUNS_PLUS_FOUR;AdditionalPartyIdentificationTypeCode;DUNS_PLUS_FOUR;DUNS+4
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:EU_VAT_IDENTIFICATION_NUMBER;AdditionalPartyIdentificationTypeCode;EU_VAT_IDENTIFICATION_NUMBER;EU VAT Identification Number
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_1;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_1;For internal use 1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_10;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_10;For internal use 10
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_11;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_11;For internal use 11
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_12;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_12;For internal use 12
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_13;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_13;For internal use 13
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_14;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_14;For internal use 14
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_15;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_15;For internal use 15
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_16;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_16;For internal use 16
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_17;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_17;For internal use 17
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_18;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_18;For internal use 18
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_19;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_19;For internal use 19
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_2;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_2;For internal use 2
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_20;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_20;For internal use 20
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_3;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_3;For internal use 3
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_4;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_4;For internal use 4
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_5;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_5;For internal use 5
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_6;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_6;For internal use 6
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_7;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_7;For internal use 7
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_8;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_8;For internal use 8
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_9;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_9;For internal use 9
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:HIN_CANADIAN_HEALTHCARE_IDENTIFICATION_NUMBER;AdditionalPartyIdentificationTypeCode;HIN_CANADIAN_HEALTHCARE_IDENTIFICATION_NUMBER;HIN canadian healthcare identification number
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:PARTITA_IVA;AdditionalPartyIdentificationTypeCode;PARTITA_IVA;Agenzia delle Entrate
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:SCAC;AdditionalPartyIdentificationTypeCode;SCAC;SCAC
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:SELLER_ASSIGNED_IDENTIFIER_FOR_A_PARTY;AdditionalPartyIdentificationTypeCode;SELLER_ASSIGNED_IDENTIFIER_FOR_A_PARTY;Seller assigned identifier for a party
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:SIRET;AdditionalPartyIdentificationTypeCode;SIRET;SIRET
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:TD_LINK_TRADE_DIMENSIONS;AdditionalPartyIdentificationTypeCode;TD_LINK_TRADE_DIMENSIONS;TD link trade dimensions
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:UCC_COMMUNICATION_IDENTIFICATION;AdditionalPartyIdentificationTypeCode;UCC_COMMUNICATION_IDENTIFICATION;UCC Communication Identification
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:UN_LOCATION_CODE;AdditionalPartyIdentificationTypeCode;UN_LOCATION_CODE;UN Location Code
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:UNKNOWN;AdditionalPartyIdentificationTypeCode;UNKNOWN;Unknown
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:USDA_ESTABLISHMENT_NUMBER;AdditionalPartyIdentificationTypeCode;USDA_ESTABLISHMENT_NUMBER;USDA establishment number
urn:gs1:gdd:cl:AdditionalReturnableAssetIdentificationTypeCode;AdditionalReturnableAssetIdentificationTypeCode;;
urn:gs1:gdd:cl:AdditionalReturnableAssetIdentificationTypeCode:INDUSTRY_ASSIGNED;AdditionalReturnableAssetIdentificationTypeCode;INDUSTRY_ASSIGNED;Industry assigned
urn:gs1:gdd:cl:AdditionalReturnableAssetIdentificationTypeCode:OWNER_ASSIGNED;AdditionalReturnableAssetIdentificationTypeCode;OWNER_ASSIGNED;Owner assigned
urn:gs1:gdd:cl:AdditionalServiceRelationIdentificationTypeCode;AdditionalServiceRelationIdentificationTypeCode;;
urn:gs1:gdd:cl:AdditionalServiceRelationIdentificationTypeCode:INDUSTRY_ASSIGNED;AdditionalServiceRelationIdentificationTypeCode;INDUSTRY_ASSIGNED;Industry assigned
urn:gs1:gdd:cl:AdditionalServiceRelationIdentificationTypeCode:SERVICE_PROVIDER_ASSIGNED;AdditionalServiceRelationIdentificationTypeCode;SERVICE_PROVIDER_ASSIGNED;Service provider assigned
urn:gs1:gdd:cl:AdditionalShipmentIdentificationTypeCode;AdditionalShipmentIdentificationTypeCode;;
urn:gs1:gdd:cl:AdditionalShipmentIdentificationTypeCode:GOODS_RECEIVER_ASSIGNED;AdditionalShipmentIdentificationTypeCode;GOODS_RECEIVER_ASSIGNED;Goods receiver assigned
urn:gs1:gdd:cl:AdditionalShipmentIdentificationTypeCode:LOGISTICS_SERVICE_PROVIDER_ASSIGNED;AdditionalShipmentIdentificationTypeCode;LOGISTICS_SERVICE_PROVIDER_ASSIGNED;Logistics service provider assigned
urn:gs1:gdd:cl:AdditionalShipmentIdentificationTypeCode:SHIPPER_ASSIGNED;AdditionalShipmentIdentificationTypeCode;SHIPPER_ASSIGNED;Shipper assigned
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode;AdditionalTradeItemClassificationCodeListCode;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:1;AdditionalTradeItemClassificationCodeListCode;1;GXS
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:2;AdditionalTradeItemClassificationCodeListCode;2;IRI
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:3;AdditionalTradeItemClassificationCodeListCode;3;AC Nielsen
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:4;AdditionalTradeItemClassificationCodeListCode;4;GS1 Canada ECCnet
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:5;AdditionalTradeItemClassificationCodeListCode;5;UNSPSC
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:6;AdditionalTradeItemClassificationCodeListCode;6;ECCMA
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:7;AdditionalTradeItemClassificationCodeListCode;7;EAN Norges Multibransje Varegruppestandard
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:8;AdditionalTradeItemClassificationCodeListCode;8;Supplier Assigned
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:9;AdditionalTradeItemClassificationCodeListCode;9;AMECE
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:10;AdditionalTradeItemClassificationCodeListCode;10;CCG
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:11;AdditionalTradeItemClassificationCodeListCode;11;EANFIN
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:13;AdditionalTradeItemClassificationCodeListCode;13;IFLS5
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:14;AdditionalTradeItemClassificationCodeListCode;14;CBL
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:15;AdditionalTradeItemClassificationCodeListCode;15;JICFS
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:16;AdditionalTradeItemClassificationCodeListCode;16;European Union
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:17;AdditionalTradeItemClassificationCodeListCode;17;GS1 Spain
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:18;AdditionalTradeItemClassificationCodeListCode;18;GS1 Poland
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:19;AdditionalTradeItemClassificationCodeListCode;19;Federal Agency on Technical Regulating and Metrology of the Russia Federation
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:20;AdditionalTradeItemClassificationCodeListCode;20;ECR
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:21;AdditionalTradeItemClassificationCodeListCode;21;GS1 Italy
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:22;AdditionalTradeItemClassificationCodeListCode;22;CPV
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:23;AdditionalTradeItemClassificationCodeListCode;23;IFDA
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:24;AdditionalTradeItemClassificationCodeListCode;24;AHFS
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:25;AdditionalTradeItemClassificationCodeListCode;25;ATC
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:26;AdditionalTradeItemClassificationCodeListCode;26;ClaDiMed
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:27;AdditionalTradeItemClassificationCodeListCode;27;CMDR
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:28;AdditionalTradeItemClassificationCodeListCode;28;CND
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:30;AdditionalTradeItemClassificationCodeListCode;30;UKDM&D
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:31;AdditionalTradeItemClassificationCodeListCode;31;eCl@ss
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:32;AdditionalTradeItemClassificationCodeListCode;32;EDMA
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:33;AdditionalTradeItemClassificationCodeListCode;33;EGAR
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:34;AdditionalTradeItemClassificationCodeListCode;34;IMS
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:35;AdditionalTradeItemClassificationCodeListCode;35;GMDN
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:36;AdditionalTradeItemClassificationCodeListCode;36;GPI
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:37;AdditionalTradeItemClassificationCodeListCode;37;HCPCS
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:38;AdditionalTradeItemClassificationCodeListCode;38;ICPS
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:39;AdditionalTradeItemClassificationCodeListCode;39;MedDRA
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:40;AdditionalTradeItemClassificationCodeListCode;40;Medical Columbus
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:41;AdditionalTradeItemClassificationCodeListCode;41;NAPCS
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:42;AdditionalTradeItemClassificationCodeListCode;42;NHS-eClass
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:43;AdditionalTradeItemClassificationCodeListCode;43;US FDA PCCD
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:44;AdditionalTradeItemClassificationCodeListCode;44;SHPA
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:45;AdditionalTradeItemClassificationCodeListCode;45;SNOMED CT
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:46;AdditionalTradeItemClassificationCodeListCode;46;UMDNS
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:47;AdditionalTradeItemClassificationCodeListCode;47;DTB
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:48;AdditionalTradeItemClassificationCodeListCode;48;FEDAS PCK
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:49;AdditionalTradeItemClassificationCodeListCode;49;EAS
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:50;AdditionalTradeItemClassificationCodeListCode;50;Australian TGA Type
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:51;AdditionalTradeItemClassificationCodeListCode;51;Australian Medicines and Poisons Schedule Code
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:52;AdditionalTradeItemClassificationCodeListCode;52;Australian Pharmaceutical Benefits Scheme
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:53;AdditionalTradeItemClassificationCodeListCode;53;Australian TGA Risk Classification
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:54;AdditionalTradeItemClassificationCodeListCode;54;MIV-C
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:55;AdditionalTradeItemClassificationCodeListCode;55;MIV-D
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:56;AdditionalTradeItemClassificationCodeListCode;56;BTE
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:57;AdditionalTradeItemClassificationCodeListCode;57;REV
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:58;AdditionalTradeItemClassificationCodeListCode;58;FDA Premarket Submission Number
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:59;AdditionalTradeItemClassificationCodeListCode;59;ETIM
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:60;AdditionalTradeItemClassificationCodeListCode;60;G-DRG
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:61;AdditionalTradeItemClassificationCodeListCode;61;ICD-GM
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:62;AdditionalTradeItemClassificationCodeListCode;62;OPS-G
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:63;AdditionalTradeItemClassificationCodeListCode;63;NCM
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:64;AdditionalTradeItemClassificationCodeListCode;64;CORE DIY
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:65;AdditionalTradeItemClassificationCodeListCode;65;FDA Preferred Term Code, 
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:66;AdditionalTradeItemClassificationCodeListCode;66;Medsafe Risk Classification    
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:67;AdditionalTradeItemClassificationCodeListCode ;67;Medsafe Regulatory Classification 
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:68;AdditionalTradeItemClassificationCodeListCode;68;LPRR
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:69;AdditionalTradeItemClassificationCodeListCode;69;INN
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:70;AdditionalTradeItemClassificationCodeListCode;70;VBN
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:71;AdditionalTradeItemClassificationCodeListCode;71;Groupement d’Etude des Marchés en Restauration Collective et de Nutrition 
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:72;AdditionalTradeItemClassificationCodeListCode;72;European Community School Milk
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:73;AdditionalTradeItemClassificationCodeListCode;73;OKPD2 Russian Classification of Product by Economic Activities.
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:74;AdditionalTradeItemClassificationCodeListCode;74;French Ministry of Health
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:75;AdditionalTradeItemClassificationCodeListCode;75;GS1 Sweden Alcoholic Beverages 
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:76;AdditionalTradeItemClassificationCodeListCode;76;EU Med Device Classification
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode;AdditionalTradeItemIdentificationTypeCode;;
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:ADMDM;AdditionalTradeItemIdentificationTypeCode;ADMDM;Agence du Médicament de Madagascar
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:AIG;AdditionalTradeItemIdentificationTypeCode;AIG;Active Ingredient Number
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:ANVISA;AdditionalTradeItemIdentificationTypeCode;ANVISA;National Health Surveillance Agency (ANVISA)
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:ARFA;AdditionalTradeItemIdentificationTypeCode;ARFA;Agência de Regulação e Supervisão dos Produtos Farmacêuticos e Alimentares (ARFA)
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:ARTG_ID;AdditionalTradeItemIdentificationTypeCode;ARTG_ID;Australian Register of Therapeutic Goods
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:AU_PROSTHESES_REBATE_CODE;AdditionalTradeItemIdentificationTypeCode;AU_PROSTHESES_REBATE_CODE;Australian Prostheses Rebate Code
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:BFR;AdditionalTradeItemIdentificationTypeCode;BFR;BFR
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:BNDA;AdditionalTradeItemIdentificationTypeCode;BNDA;Bahamas National Drug Agency (BNDA)
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:BUYER_ASSIGNED;AdditionalTradeItemIdentificationTypeCode;BUYER_ASSIGNED;Buyer Assigned
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:CDSCO;AdditionalTradeItemIdentificationTypeCode;CDSCO;Central Drugs Standard Control Organization (CDSCO)
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:DAV;AdditionalTradeItemIdentificationTypeCode;DAV;Drug Administration of Vietnam (DAV)
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:DDA_NP;AdditionalTradeItemIdentificationTypeCode;DDA_NP;Department of Drug Administration (DDA)
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:DDF_KH;AdditionalTradeItemIdentificationTypeCode;DDF_KH;Department of Drugs and Food (DDF)
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:DDSME;AdditionalTradeItemIdentificationTypeCode;DDSME;Department of Drug Supply and Medical Equipment
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:DGDA;AdditionalTradeItemIdentificationTypeCode;DGDA;Directorate General of Drug Administration (DGDA)
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:DGPML_BF;AdditionalTradeItemIdentificationTypeCode;DGPML_BF;Direction Générale de la Pharmacie, du Médicament et des Laboratoires (DGPML)
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:DGPML_BJ;AdditionalTradeItemIdentificationTypeCode;DGPML_BJ;Direction General of Pharmacy, Medicine and Pharmacy  Laboratories (DGPML)
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:DGRS;AdditionalTradeItemIdentificationTypeCode;DGRS;Direccion General de Regulacion Sanitaria (DGRS)
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:DIGEMID_MINSA;AdditionalTradeItemIdentificationTypeCode;DIGEMID_MINSA;Dirección General de Medicamentos (DIGEMID-MINSA)
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:DIN;AdditionalTradeItemIdentificationTypeCode;DIN;DIN
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:DIN_HM;AdditionalTradeItemIdentificationTypeCode;DIN_HM;DIN HM
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:DISTRIBUTOR_ASSIGNED;AdditionalTradeItemIdentificationTypeCode;DISTRIBUTOR_ASSIGNED;not defined
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:DLP;AdditionalTradeItemIdentificationTypeCode;DLP;Direction des Laboratoires et des Pharmacies
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:DNM_SV;AdditionalTradeItemIdentificationTypeCode;DNM_SV;Dirección Nacional de Medicamentos (DNM)
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:DNPL;AdditionalTradeItemIdentificationTypeCode;DNPL;Direction Nationale de la Pharmacie et du Laboratoire
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:DPL ;AdditionalTradeItemIdentificationTypeCode;DPL ;Direction de la Pharmacie et des Laboratoires
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:DPLMT;AdditionalTradeItemIdentificationTypeCode;DPLMT;Direction des Dervices Pharmaceutiques des Laboratoires et de la Médecine Traditionnelle
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:DPM_CD;AdditionalTradeItemIdentificationTypeCode;DPM_CD;Direction de la Pharmacie et du Médicament DPM Democratic Republic of Congo 
urn:gs1:gdd:cl:AdditionalTradeItemIdentificationTypeCode:DPM_CI;AdditionalTradeItemIdentificationTypeCode;DPM_CI;Direction de la Pharmacie et du Médicament DPM Côte d'Ivoire 
